CREDITS,DESCRIPTION,EMBEDCODE,ENTITYID,ENTITYMEDIAID,ENTITYTYPE,HEIGHT,MEDIATYPE,SUBTITLE,TITLE,URL,WIDTH
"","","","203230","230","Facility","0","Image","","","http://ridb.recreation.gov/images/230.jpg","0"
"","","","203232","232","Facility","0","Image","","","http://ridb.recreation.gov/images/232.jpg","0"
"","","","203235","233","Facility","0","Image","","","http://ridb.recreation.gov/images/233.jpg","0"
"","","","203248","234","Facility","0","Image","","","http://ridb.recreation.gov/images/234.jpg","0"
"","","","203238","235","Facility","0","Image","","","http://ridb.recreation.gov/images/235.jpg","0"
"","","","203252","236","Facility","0","Image","","","http://ridb.recreation.gov/images/236.jpg","0"
"","","","203254","237","Facility","0","Image","","","http://ridb.recreation.gov/images/237.jpg","0"
"","","","203258","239","Facility","0","Image","","","http://ridb.recreation.gov/images/239.jpg","0"
"","","","200003","240","Facility","0","Image","","NARA's College Park Facility","http://ridb.recreation.gov/images/240.jpg","0"
"","","","204077","241","Facility","0","Image","","","http://ridb.recreation.gov/images/241.jpg","0"
"","","","203140","242","Facility","0","Image","","","http://ridb.recreation.gov/images/242.jpg","0"
"","","","203142","243","Facility","0","Image","","","http://ridb.recreation.gov/images/243.jpg","0"
"","","","203145","244","Facility","0","Image","","","http://ridb.recreation.gov/images/244.jpg","0"
"","","","204082","246","Facility","0","Image","","","http://ridb.recreation.gov/images/246.jpg","0"
"","","","204140","248","Facility","0","Image","","","http://ridb.recreation.gov/images/248.jpg","0"
"","","","203147","249","Facility","0","Image","","","http://ridb.recreation.gov/images/249.jpg","0"
"","","","203153","251","Facility","0","Image","","","http://ridb.recreation.gov/images/251.jpg","0"
"","","","203158","252","Facility","0","Image","","","http://ridb.recreation.gov/images/252.jpg","0"
"","","","203161","253","Facility","0","Image","","","http://ridb.recreation.gov/images/253.jpg","0"
"","","","203163","254","Facility","0","Image","","","http://ridb.recreation.gov/images/254.jpg","0"
"","","","204144","256","Facility","0","Image","","","http://ridb.recreation.gov/images/256.jpg","0"
"","","","203174","257","Facility","0","Image","","","http://ridb.recreation.gov/images/257.jpg","0"
"","","","203177","258","Facility","0","Image","","","http://ridb.recreation.gov/images/258.jpg","0"
"","","","203178","259","Facility","0","Image","","","http://ridb.recreation.gov/images/259.jpg","0"
"","","","204117","260","Facility","0","Image","","","http://ridb.recreation.gov/images/260.jpg","0"
"","","","204118","261","Facility","0","Image","","","http://ridb.recreation.gov/images/261.jpg","0"
"","","","203167","264","Facility","0","Image","","","http://ridb.recreation.gov/images/264.jpg","0"
"","","","203170","266","Facility","0","Image","","","http://ridb.recreation.gov/images/266.jpg","0"
"","","","203183","276","Facility","0","Image","","","http://ridb.recreation.gov/images/276.jpg","0"
"","","","200011","279","Facility","0","Image","","NARA's College Park Facility","http://ridb.recreation.gov/images/279.jpg","0"
"","","","200012","280","Facility","0","Image","","Ronald Reagan Presidential Library and Museum","http://ridb.recreation.gov/images/280.jpg","0"
"","","","200013","281","Facility","0","Image","","Truman Presidential Library and Museum","http://ridb.recreation.gov/images/281.jpg","0"
"","","","200002","283","Facility","0","Image","","National Archives Building, Washington, DC","http://ridb.recreation.gov/images/283.jpg","0"
"","","","200009","284","Facility","0","Image","","LBJ Presidential LIbrary and Museum","http://ridb.recreation.gov/images/284.jpg","0"
"","","","210601","286","Facility","0","Image","","McKenzie River","http://ridb.recreation.gov/images/286.jpg","0"
"","","","210606","287","Facility","0","Image","","Pavilion at Eagleview","http://www.or.blm.gov/roseburg/images/IMG_0926PavilionforWeb.jpg","0"
"","","","210607","288","Facility","0","Image","","Group Site at Lone Pine Campground","http://www.or.blm.gov/roseburg/rec/LonePineGroupSite-1b.jpg","0"
"","","","203260","293","Facility","0","Image","","","http://ridb.recreation.gov/images/293.jpg","0"
"","","","203262","294","Facility","0","Image","","","http://ridb.recreation.gov/images/294.jpg","0"
"","","","203264","295","Facility","0","Image","","","http://ridb.recreation.gov/images/295.jpg","0"
"","","","200004","296","Facility","0","Image","","Entrance to the Carter Presidential Library","http://ridb.recreation.gov/images/296.jpg","0"
"","","","210608","297","Facility","0","Image","","Moss covered maples surround the Millpond pavilion","http://www.or.blm.gov/roseburg/rec/millpond_pavilion.jpg","0"
"","","","200006","309","Facility","0","Image","","Gerald Ford Presidential Library","http://ridb.recreation.gov/images/309.jpg","0"
"","","","200007","310","Facility","0","Image","","Gerald R. Ford Presidential Museum","http://ridb.recreation.gov/images/310.jpg","0"
"","","","224333","559","Facility","0","Image","","Fishing for bass below the campground","http://ridb.recreation.gov/images/559.jpg","0"
"","","","225561","565","Facility","0","Image","","","www.blm.gov","0"
"","Each of the historic 89 guest rooms and suites at The Blennerhassett Hotel combine traditional elegance with modern amenities.","","231792","1605","Facility","0","Image","Guest Room","Luxurious Accommodations","http://ridb.recreation.gov/images/1605.jpg","0"
"","Designed and built by William Chancellor, a prominent Parkersburg businessman, Blennerhassett opened in 1889 and quickly became a grand showplace for what would later be known as the Gaslight Era.","","231792","1606","Facility","0","Image","","A Symbol in Parkersburg","http://ridb.recreation.gov/images/1606.jpg","0"
"","This Historic Hotels of America hotel features meeting spaces for every group: from rooms for small classes of only 10 to the signature Charleston Ballroom & Promenade.","","231792","1607","Facility","0","Image","","Weddings, Meetings, Classes and more","http://ridb.recreation.gov/images/1607.jpg","0"
"","The name of The American Club was carefully selected in the hope that it would instill within its residents a love of their new country when it was first founded as a private residence.","","231771","1608","Facility","0","Image","","An American History","http://ridb.recreation.gov/images/1608.png","0"
"","Ashland Springs boasts 70 tastefully decorated, non-smoking rooms.","","231772","1611","Facility","0","Image","Guest Room","Historic Accommodations","http://ridb.recreation.gov/images/1611.jpg","0"
"","The famous Lithia Springs water was reputed to be the purest and healthiest in America: just one of the attractions for guests to The Ashland Springs Hotel.","","231772","1612","Facility","0","Image","Lobby","A Purifying Stay","http://ridb.recreation.gov/images/1612.jpg","0"
"","Only steps from theater, shopping, and nightlife: while Larks Home Kitchen Cuisine caters to guests daily. The Ashland Springs Hotels is also the closest lodging for the world famous Oregon Shakespeare Festival held annually.","","231772","1613","Facility","0","Image","Exterior at Night","Steps to Local Attractions","http://ridb.recreation.gov/images/1613.jpg","0"
"","Guests of The Ashton enjoy one of 39 spacious guestrooms and suites. 
","","231773","1614","Facility","0","Image","Guest Room","Comfortable Rooms","http://ridb.recreation.gov/images/1614.jpg","0"
"","Historic Hotels of America member The Ashton Hotel was orginially built in 1915 for The Fort Worth Club, a collection of the city’s most prominent citizens.","","231773","1615","Facility","0","Image","Exterior","A Historic Stay","http://ridb.recreation.gov/images/1615.jpg","0"
"","The Ashton offers four distinctive meeting venues for groups as small as 20 and as large as 150.","","231773","1616","Facility","0","Image","Lobby","A Space for Everyone","http://ridb.recreation.gov/images/1616.jpg","0"
"","The Ashton Café is renowned for its elegant service and creative American Bistro cuisine. The warm, intimate setting includes a fireplace, piano and bar.","","231773","1617","Facility","0","Image","Dining","Intimate Dining","http://ridb.recreation.gov/images/1617.jpg","0"
"","The Battle House Renaissance Mobile Hotel & Spa encompasses 238 hotel rooms including 31 suites.","","231791","1618","Facility","0","Image","Guest Suite","Historic Rooms and Suites","http://ridb.recreation.gov/images/1618.jpg","0"
"","In addition to the driving range on property, this Historic Hotels of America member is within convenient driving distance to the Robert Trent Jones Golf Trail - Magnolia Grove, home of the LPGA Mobile Bay Classic Golf Tournament.","","231791","1619","Facility","0","Image","Golf Course","Great for Golf","http://ridb.recreation.gov/images/1619.jpg","0"
"","The Battle House Renaissance Mobile Hotel & Spa has a tennis court, driving range, a 7,000 square foot spa, salon and fitness center, swimming pool, one restaurant and three lounges/bars..

","","231791","1620","Facility","0","Image","Golf Course & Water ","Activities At Hand","http://ridb.recreation.gov/images/1620.jpg","0"
"","December 11 1852 - The landmark Battle House opened in 1852 and has been an important part of Mobile history ever since. The hotel took its name from James and
Samuel Battle.

","","231791","1621","Facility","0","Image","Lobby","A Mobile Legend","http://ridb.recreation.gov/images/1621.jpg","0"
"","Guests to the Historic Battle House hotel have included Jefferson Davis,
Admiral Raphael Semmes, and Generals Bragg, Beauregard, and Taylor, and Stephen Douglas.","","231791","1622","Facility","0","Image","Corridor","Living History","http://ridb.recreation.gov/images/1622.jpg","0"
"","The Capital Hotel boasts 94 heritage accommodations including 15 Capital Great Rooms and four luxury suites.","","231796","1623","Facility","0","Image","Capital King Room","Charming Rooms","http://ridb.recreation.gov/images/1623.jpg","0"
"","One of the historic Capital Hotel's most notable features is the prefabricated cast-iron façade that is part of the original construction (though it has been added to since). This architectural detail was built out of state – where is not known for certain – and shipped to Arkansas. The building was designed and constructed to accommodate the façade, which is not only decorative but a vital structural element as well.","","231796","1624","Facility","0","Image","Exterior at Night","A Little Rock Landmark","http://ridb.recreation.gov/images/1624.jpg","0"
"","Historic Hotels of America is certain that whatever the occasion, th facilities at The Capital Hotel will suit your needs.","","231796","1625","Facility","0","Image","Ballroom","Perfect for Weddings and Meetings","http://ridb.recreation.gov/images/1625.jpg","0"
"","The landmark hotel in Little Rock hosted many political and historic personages, including President Ulysses S. Grant. In fact, legend says that the Capital's unusually large elevator was built to allow Grant to take his horse to his hotel room.","","231796","1626","Facility","0","Image","Lobby","Where History Stayed","http://ridb.recreation.gov/images/1626.jpg","0"
"","The Chattanooga terminal was saved in 1973 by a group of local citizens and was brought to the public as the hotel it is today.","","231799","1627","Facility","0","Image","","Night Exterior ","http://ridb.recreation.gov/images/1627.jpg","0"
"","The Hotel's location in the heart of Chattanooga means that guests can enjoy local amenities such as golfing.","","231799","1628","Facility","0","Image","","Golf Course ","http://ridb.recreation.gov/images/1628.jpg","0"
"","Formerly a railroad terminal,  now a member of Historic Hotels of America, that Chattanooga Choo Choo welcomes guests to its unique locations such as these formal gardens.","","231799","1629","Facility","0","Image","","Formal Gardens ","http://ridb.recreation.gov/images/1629.jpg","0"
"","The Chattanooga Choo Choo boasts the world’s largest HO gauge model train display, with 120 locomotives,1,000 freight cars, 80 passenger cars,and 3,000 feet of track.","","231799","1630","Facility","0","Image","","Welcome Aboard","http://ridb.recreation.gov/images/1630.jpg","0"
"","40,000-square-feet of event space including a ballroom, theater, lecture hall, meeting rooms, and boardrooms.","","231799","1631","Facility","0","Image","","Imperial Ballroom","http://ridb.recreation.gov/images/1631.jpg","0"
"","There are nearly 600 rooms in the Fairmont Hotel San Francisco, each offering amenities such as a refreshment center, refridgerators, and plush bathrobes.","","231801","1632","Facility","0","Image","","Lush Accommodations","http://ridb.recreation.gov/images/1632.jpg","0"
"","The 61 suites of this Historic Hotel of America offer incomporable views of both the city skyline and the Bay.","","231801","1633","Facility","0","Image","","Steps to the City","http://ridb.recreation.gov/images/1633.jpg","0"
"","Without even leaving the hotel guests of The Fairmont Hotel San Francisco can access world class shopping and unique on-site amenities.","","231801","1634","Facility","0","Image","","Billiards Table","http://ridb.recreation.gov/images/1634.jpg","0"
