PERMITENTRANCEID,PERMITENTRANCEZONEID,ZONE
"682","19535","Namakan"
"683","19536","Namakan"
"432","19537","Backcountry"
"598","19538","Rainy West"
"599","19539","Rainy West"
"600","19540","Sand Point Lake"
"601","19541","Kabetogama"
"602","19542","Backcountry"
"603","19543","Rainy West"
"563","19544","Sand Point Lake"
"565","19545","Sand Point Lake"
"566","19546","Namakan"
"431","19547","Rainy West"
"561","19548","Rainy West"
"562","19549","Kabetogama"
"568","19550","Namakan"
"508","19551","Rainy West"
"569","19552","Kabetogama"
"570","19553","Namakan"
"509","19554","Kabetogama"
"510","19555","Backcountry"
"649","19556","Kabetogama"
"650","19557","Kabetogama"
"638","19558","Backcountry"
"639","19559","Kabetogama"
"507","19560","Backcountry"
"567","19561","Namakan"
"663","19562","Namakan"
"427","19563","Namakan"
"428","19564","Namakan"
"647","19565","Backcountry"
"429","19566","Rainy West"
"648","19567","Rainy West"
"655","19568","Namakan"
"656","19569","Rainy East"
"651","19570","Sand Point Lake"
"652","19571","Backcountry"
"653","19572","Sand Point Lake"
"426","19573","Backcountry"
"491","19574","Backcountry"
"492","19575","Rainy East"
"609","19576","Backcountry"
"610","19577","Rainy East"
"611","19578","Namakan"
"604","19579","Rainy West"
"605","19580","Sand Point Lake"
"613","19581","Backcountry"
"614","19582","Backcountry"
"615","19583","Rainy East"
"606","19584","Namakan"
"607","19585","Namakan"
"608","19586","Rainy East"
"679","19587","Backcountry"
"680","19588","Rainy East"
"532","19589","Backcountry"
"533","19590","Kabetogama"
"534","19591","Backcountry"
"612","19592","Namakan"
"675","19593","Kabetogama"
"681","19594","Backcountry"
"515","19595","Namakan"
"676","19596","Namakan"
"677","19597","Namakan"
"678","19598","Namakan"
"433","19599","Backcountry"
"686","19600","Kabetogama"
"513","19601","Rainy East"
"514","19602","Rainy East"
"673","19603","Namakan"
"674","19604","Kabetogama"
"593","19605","Kabetogama"
"392","19606","Sand Point Lake"
"393","19607","Kabetogama"
"394","19608","Rainy West"
"395","19609","Backcountry"
"685","19610","Backcountry"
"588","19611","Backcountry"
"589","19612","Rainy West"
"590","19613","Rainy West"
"591","19614","Rainy West"
"391","19615","Sand Point Lake"
"592","19616","Sand Point Lake"
"502","19617","Backcountry"
"503","19618","Rainy East"
"504","19619","Namakan"
"389","19620","Backcountry"
"597","19621","Sand Point Lake"
"390","19622","Kabetogama"
"530","19623","Sand Point Lake"
"669","19624","Rainy West"
"670","19625","Kabetogama"
"531","19626","Backcountry"
"666","19627","Rainy West"
"667","19628","Namakan"
"526","19629","Rainy East"
"750","19630","Sand Point Lake"
"527","19631","Backcountry"
"528","19632","Backcountry"
"529","19633","Rainy West"
"668","19634","Rainy West"
"684","19635","Namakan"
"405","19636","Backcountry"
"524","19637","Backcountry"
"672","19638","Namakan"
"525","19639","Rainy West"
"671","19640","Namakan"
"572","19641","Namakan"
"573","19642","Namakan"
"574","19643","Namakan"
"575","19644","Namakan"
"403","19645","Kabetogama"
"404","19646","Rainy East"
"577","19647","Namakan"
"578","19648","Namakan"
"579","19649","Namakan"
"580","19650","Sand Point Lake"
"581","19651","Namakan"
"571","19652","Namakan"
"490","19653","Namakan"
"584","19654","Namakan"
"585","19655","Sand Point Lake"
"586","19656","Sand Point Lake"
"587","19657","Namakan"
"576","19658","Rainy West"
"165","19659","Rainy West"
"489","19660","Rainy East"
"658","19661","Sand Point Lake"
"659","19662","Sand Point Lake"
"660","19663","Backcountry"
"654","19664","Sand Point Lake"
"662","19665","Sand Point Lake"
"163","19666","Rainy East"
"664","19667","Namakan"
"665","19668","Kabetogama"
"164","19669","Namakan"
"657","19670","Sand Point Lake"
"595","19671","Sand Point Lake"
"596","19672","Sand Point Lake"
"582","19673","Sand Point Lake"
"583","19674","Kabetogama"
"505","19675","Backcountry"
"661","19676","Rainy West"
"618","19677","Sand Point Lake"
"619","19678","Rainy West"
"620","19679","Kabetogama"
"621","19680","Rainy East"
"402","19681","Kabetogama"
"594","19682","Namakan"
"624","19683","Kabetogama"
"625","19684","Kabetogama"
"626","19685","Sand Point Lake"
"401","19686","Sand Point Lake"
"616","19687","Namakan"
"617","19688","Namakan"
"627","19689","Rainy East"
"628","19690","Kabetogama"
"629","19691","Sand Point Lake"
"400","19692","Rainy West"
"622","19693","Kabetogama"
"623","19694","Sand Point Lake"
"397","19695","Rainy East"
"646","19696","Kabetogama"
"398","19697","Backcountry"
"640","19698","Rainy West"
"630","19699","Rainy East"
"399","19700","Kabetogama"
"643","19701","Kabetogama"
"644","19702","Rainy East"
"645","19703","Sand Point Lake"
"396","19704","Backcountry"
"631","19705","Sand Point Lake"
"632","19706","Namakan"
"634","19707","Rainy East"
"635","19708","Backcountry"
"636","19709","Backcountry"
"637","19710","Kabetogama"
"641","19711","Rainy West"
"642","19712","Rainy West"
"380","19713","Green River"
"371","19714","Yampa River"
